"
title","Correlation
","raiting_oy_sayisi
"
Star Wars (1977),1.0,584
"Empire Strikes Back, The (1980)",0.7483526074187038,368
Return of the Jedi (1983),0.6725558558876046,507
Raiders of the Lost Ark (1981),0.5361171013729324,420
Austin Powers: International Man of Mystery (1997),0.37743279047354783,130
"Sting, The (1973)",0.3675383445161531,241
Indiana Jones and the Last Crusade (1989),0.35010695830264116,331
Pinocchio (1940),0.34786765794741137,101
"Frighteners, The (1996)",0.3327293706843021,115
L.A. Confidential (1997),0.3190645061387089,297
Wag the Dog (1997),0.31864457042428074,137
Dumbo (1941),0.31765614324914604,123
"Bridge on the River Kwai, The (1957)",0.3165797130273216,165
"Philadelphia Story, The (1940)",0.3142722725362817,104
Miracle on 34th Street (1994),0.3109212626475997,101
E.T. the Extra-Terrestrial (1982),0.3036194752222234,300
Mystery Science Theater 3000: The Movie (1996),0.30180937463348756,130
Cinderella (1950),0.29916287779855794,129
Batman (1989),0.28934438545964064,201
Swingers (1996),0.2893102606495329,157
Field of Dreams (1989),0.28528638957450614,212
Gattaca (1997),0.2830045171884246,136
Star Trek: The Wrath of Khan (1982),0.2822057080699715,244
Back to the Future (1985),0.2748391275231541,350
Snow White and the Seven Dwarfs (1937),0.27034600134543785,172
"Wizard of Oz, The (1939)",0.2663352521412947,246
"Firm, The (1993)",0.26587809444400434,151
Jaws (1975),0.26545937217623095,280
Beautiful Girls (1996),0.26530050275124967,115
"Terminator, The (1984)",0.26225457566458366,301
Star Trek: The Motion Picture (1979),0.26065415143332266,117
"Princess Bride, The (1987)",0.2597108026937693,324
Get Shorty (1995),0.259182343963158,209
Singin' in the Rain (1952),0.2564947059605273,137
Star Trek: First Contact (1996),0.2555291393251256,365
Tomorrow Never Dies (1997),0.25521031752041656,180
Aliens (1986),0.25444371703717117,284
Star Trek: Generations (1994),0.25431964788038264,116
Jackie Chan's First Strike (1996),0.2511241791683125,145
Alien (1979),0.24899058113892683,291
Independence Day (ID4) (1996),0.24875400353299304,429
Casablanca (1942),0.24801601296896256,243
"Craft, The (1996)",0.24795323985007828,104
Con Air (1997),0.24170458985309223,137
Interview with the Vampire (1994),0.23869532827445136,137
"Lion King, The (1994)",0.23560649875942025,220
2001: A Space Odyssey (1968),0.23088413157668894,259
"African Queen, The (1951)",0.23054017001320048,152
Down Periscope (1996),0.22810689772573692,101
"Crow, The (1994)",0.2281046348970271,134
Grease (1978),0.22755174167148803,170
My Left Foot (1989),0.2251654686723753,121
James and the Giant Peach (1996),0.2249026679584437,126
"Rainmaker, The (1997)",0.22426002541771992,145
It's a Wonderful Life (1946),0.22284641652258227,231
Searching for Bobby Fischer (1993),0.2221999910375841,138
Apollo 13 (1995),0.2220061333714408,276
Willy Wonka and the Chocolate Factory (1971),0.22190206420071615,326
"Ghost and the Darkness, The (1996)",0.22112297327911135,128
Glory (1989),0.21922604450900046,171
Alien: Resurrection (1997),0.21775949373427178,124
"Peacemaker, The (1997)",0.21649907989324202,136
"Wrong Trousers, The (1993)",0.2162039833261525,118
"Mask, The (1994)",0.2146239644370964,129
Die Hard: With a Vengeance (1995),0.21403410504354212,151
Cool Hand Luke (1967),0.21254975299571144,164
101 Dalmatians (1996),0.21113226604908078,109
"Usual Suspects, The (1995)",0.2110745333134688,267
"Fish Called Wanda, A (1988)",0.20946386072374884,247
"Right Stuff, The (1983)",0.2089073972348394,157
Terminator 2: Judgment Day (1991),0.2075987080404439,295
Lawrence of Arabia (1962),0.20723021403620193,173
Monty Python and the Holy Grail (1974),0.20702708344086798,316
Platoon (1986),0.20633017339625867,127
Monty Python's Life of Brian (1979),0.2061611625744617,174
"Nightmare on Elm Street, A (1984)",0.20427717482651725,111
Butch Cassidy and the Sundance Kid (1969),0.2042753180910173,216
"Abyss, The (1989)",0.20370855417493686,151
Men in Black (1997),0.20251166635297996,303
"Nutty Professor, The (1996)",0.20248552422412958,163
Star Trek III: The Search for Spock (1984),0.2019751295350018,171
True Lies (1994),0.19830597570273378,208
Outbreak (1995),0.19752527281209722,104
Blade Runner (1982),0.1967149234471284,275
"Hunt for Red October, The (1990)",0.19543697786309466,227
Young Frankenstein (1974),0.19258866657781298,200
"Blues Brothers, The (1980)",0.19256034572864805,251
Kingpin (1996),0.1916434178074743,162
Aladdin (1992),0.19162081859838148,219
Amadeus (1984),0.19028048595893005,276
That Thing You Do! (1996),0.19019808428410812,176
"Godfather, The (1972)",0.18977507677636293,413
"Net, The (1995)",0.18975276721883924,120
Sneakers (1992),0.18912967078566625,150
Shine (1996),0.1887993146110538,129
Bram Stoker's Dracula (1992),0.18836874416376795,120
Young Guns (1988),0.1863769594544999,101
"Magnificent Seven, The (1954)",0.18510241594455173,121
Babe (1995),0.18451190997468808,219
12 Angry Men (1957),0.18428943911380222,125
Braveheart (1995),0.18415809862556853,297
"Close Shave, A (1995)",0.18345085555413113,112
Secrets & Lies (1996),0.1810300470555719,162
Toy Story (1995),0.18001973610890726,452
Patton (1970),0.17951986975474124,136
Sleepless in Seattle (1993),0.17900255117621952,213
North by Northwest (1959),0.17713577138617886,179
Sling Blade (1996),0.17577789746067232,136
Gandhi (1982),0.17521345388134604,195
"Shawshank Redemption, The (1994)",0.17498584838405026,283
Top Gun (1986),0.17481517115882206,220
Broken Arrow (1996),0.1746592832308327,254
Jurassic Park (1993),0.17212281999257356,261
Being There (1979),0.171321324708529,116
Donnie Brasco (1997),0.16910159199429162,147
Harold and Maude (1971),0.16631190002762095,121
Dave (1993),0.1638874782794867,180
Dragonheart (1996),0.1633340816764207,158
"Hudsucker Proxy, The (1994)",0.16296491160072,110
True Romance (1993),0.16294712845729972,104
"Fugitive, The (1993)",0.16152563385127375,336
Forrest Gump (1994),0.15940893417715554,321
Grosse Pointe Blank (1997),0.15805375767573826,160
Star Trek IV: The Voyage Home (1986),0.15695963697604942,199
While You Were Sleeping (1995),0.15611882612609135,162
Twelve Monkeys (1995),0.15553047277068557,392
"Great Escape, The (1963)",0.15547027708621314,124
Highlander (1986),0.15488246281863605,153
Sabrina (1995),0.1524387019373613,190
Big Night (1996),0.15235907908380922,171
Mother (1996),0.1518523780862173,169
Liar Liar (1997),0.15029176850357892,485
Like Water For Chocolate (Como agua para chocolate) (1992),0.14773821178036442,148
Mission: Impossible (1996),0.14753150336266072,344
Die Hard 2 (1990),0.146131137657269,166
"Long Kiss Goodnight, The (1996)",0.14609079293697624,185
"Truth About Cats & Dogs, The (1996)",0.14582132481344837,272
"Godfather: Part II, The (1974)",0.1455458755274191,209
"Cable Guy, The (1996)",0.14425613111299304,106
"Maltese Falcon, The (1941)",0.14179695810709997,138
"Fifth Element, The (1997)",0.14130272256503593,197
"Sex, Lies, and Videotape (1989)",0.1410888989407069,101
Michael (1996),0.14082437022788707,119
"Professional, The (1994)",0.14064464301813184,149
M*A*S*H (1970),0.13886150282913168,206
Die Hard (1988),0.1364951889376491,243
Contact (1997),0.13496195406423556,509
Mary Poppins (1964),0.13489249167334133,178
Scream (1996),0.1346478157937508,478
Cop Land (1997),0.13452878231947624,175
Beavis and Butt-head Do America (1996),0.13294260017737441,156
Groundhog Day (1993),0.13288685250383564,280
GoldenEye (1995),0.13134823129177461,131
Crimson Tide (1995),0.13105810963198433,154
Mighty Aphrodite (1995),0.13014847828161272,184
Gone with the Wind (1939),0.1292074994499811,172
To Kill a Mockingbird (1962),0.1290120212798343,219
Spawn (1997),0.12607136109525288,143
Some Like It Hot (1959),0.12429344898964993,128
"Lost World: Jurassic Park, The (1997)",0.12357764429064193,158
Primal Fear (1996),0.12286232034540943,178
Pretty Woman (1990),0.12194349633546282,164
Quiz Show (1994),0.12083749204866509,175
When Harry Met Sally... (1989),0.11984896390749102,290
Lone Star (1996),0.1187932859894437,187
Tin Cup (1996),0.11727977196526798,193
"Boot, Das (1981)",0.11485723736201386,201
Batman Forever (1995),0.11366665858837391,114
"People vs. Larry Flynt, The (1996)",0.11340432093119487,215
Happy Gilmore (1996),0.11337949189016339,149
"American President, The (1995)",0.11318903434350329,164
Air Force One (1997),0.11316413225532544,431
Eraser (1996),0.11305676688454741,206
Ghost (1990),0.11061307981968804,170
Cold Comfort Farm (1995),0.11021585205605626,125
GoodFellas (1990),0.109894466181071,226
"Nightmare Before Christmas, The (1993)",0.10987835025513298,143
Good Will Hunting (1997),0.10955616343769269,198
Cinema Paradiso (1988),0.10950013624301037,121
My Best Friend's Wedding (1997),0.10885661341955898,172
"Room with a View, A (1986)",0.10715646862015579,134
Beauty and the Beast (1991),0.10619908808034043,202
"Saint, The (1997)",0.1058402264752345,316
Conspiracy Theory (1997),0.1057581975995603,295
Fantasia (1940),0.10483675259279261,174
Army of Darkness (1993),0.10384211002862322,116
Schindler's List (1993),0.1009325424367298,298
"Clockwork Orange, A (1971)",0.10017475707498627,221
William Shakespeare's Romeo and Juliet (1996),0.09886128380531871,106
Amistad (1997),0.0951800373081981,124
Waterworld (1995),0.09330038325921483,102
In & Out (1997),0.0926027400098356,230
Sense and Sensibility (1995),0.09037266366272673,268
Bound (1996),0.0899912712075707,129
"Hunchback of Notre Dame, The (1996)",0.0895747422283552,127
Sleepers (1996),0.0883702371717592,169
Mimic (1997),0.08832652042396713,101
"Sound of Music, The (1965)",0.08717325154231116,222
Star Trek VI: The Undiscovered Country (1991),0.08625580124837129,161
"Postino, Il (1994)",0.0859700158152858,183
Absolute Power (1997),0.085439841564047,127
Bonnie and Clyde (1967),0.08478139938157252,122
Mrs. Doubtfire (1993),0.08400445235396564,192
Stand by Me (1986),0.08376803542437235,227
"Birds, The (1963)",0.08373852349981321,162
Titanic (1997),0.08192845788489903,350
Dances with Wolves (1990),0.08152610016289297,256
Vertigo (1958),0.08063541603527062,179
Stargate (1994),0.07974973176921375,127
Maverick (1994),0.0792349669703295,128
One Flew Over the Cuckoo's Nest (1975),0.07882860587390532,264
Dead Poets Society (1989),0.07879862601601652,251
Chinatown (1974),0.07870640522314176,147
Citizen Kane (1941),0.07825018038750034,198
Raising Arizona (1987),0.07646306008122883,256
"River Wild, The (1994)",0.07614951418720353,146
Evita (1996),0.07546070055127937,259
Speed (1994),0.07522785292379798,230
Ulee's Gold (1997),0.07515857174806692,184
Chasing Amy (1997),0.07453601489827798,379
Arsenic and Old Lace (1944),0.07394221901711118,115
"Last of the Mohicans, The (1992)",0.0721921950709722,128
"Game, The (1997)",0.0718304319061646,251
"Piano, The (1993)",0.07130020140384728,168
"Crying Game, The (1992)",0.06981407669689395,119
Leaving Las Vegas (1995),0.06891977495716041,298
Rear Window (1954),0.06874860481694653,209
Philadelphia (1993),0.0672190946119404,137
Mr. Smith Goes to Washington (1939),0.06521943030618284,105
Psycho (1960),0.06472479775855906,239
Starship Troopers (1997),0.06332976941348159,211
Ace Ventura: Pet Detective (1994),0.06268854737894658,103
"Birdcage, The (1996)",0.06054371464442576,293
Scream 2 (1997),0.06046017370677721,106
"Full Monty, The (1997)",0.06021602910404818,315
Batman Returns (1992),0.05969117581868423,142
